Código COMPE;Banco;Nome Completo;ISPB;Site
398;IDEAL CTVM S.A.;IDEAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;31749596;
399;KIRTON BANK;Kirton Bank S.A. - Banco Múltiplo;01701201;
400;COOP CREDITAG;COOPERATIVA DE CRÉDITO, POUPANÇA E SERVIÇOS FINANCEIROS DO CENTRO OESTE - CREDIT;05491616;
401;IUGU IP S.A.;IUGU INSTITUIÇÃO DE PAGAMENTO S.A.;15111975;
402;COBUCCIO S.A. SCFI;COBUCCIO S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;36947229;
403;CORA SCD S.A.;CORA SOCIEDADE DE CRÉDITO DIRETO S.A.;37880206;
404;SUMUP SCD S.A.;SUMUP SOCIEDADE DE CRÉDITO DIRETO S.A.;37241230;
406;ACCREDITO SCD S.A.;ACCREDITO - SOCIEDADE DE CRÉDITO DIRETO S.A.;37715993;
407;ÍNDIGO INVESTIMENTOS DTVM LTDA.;ÍNDIGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;00329598;
408;BONUSPAGO SCD S.A.;BONUSPAGO SOCIEDADE DE CRÉDITO DIRETO S.A.;36586946;
410;PLANNER SOCIEDADE DE CRÉDITO DIRETO;PLANNER SOCIEDADE DE CRÉDITO DIRETO S.A.;05684234;
411;VIA CERTA FINANCIADORA S.A. - CFI;Via Certa Financiadora S.A. - Crédito, Financiamento e Investimentos;05192316;
412;SOCIAL BANK S/A;SOCIAL BANK BANCO MÚLTIPLO S/A;15173776;
413;BCO BV S.A.;BANCO BV S.A.;01858774;
414;LEND SCD S.A.;LEND SOCIEDADE DE CRÉDITO DIRETO S.A.;37526080;
416;LAMARA SCD S.A.;LAMARA SOCIEDADE DE CRÉDITO DIRETO S.A.;19324634;
418;ZIPDIN SCD S.A.;ZIPDIN SOLUÇÕES DIGITAIS SOCIEDADE DE CRÉDITO DIRETO S/A;37414009;
419;NUMBRS SCD S.A.;NUMBRS SOCIEDADE DE CRÉDITO DIRETO S.A.;38129006;
421;CC LAR CREDI;LAR COOPERATIVA DE CRÉDITO - LAR CREDI;39343350;
422;BCO SAFRA S.A.;Banco Safra S.A.;58160789;
423;COLUNA S.A. DTVM;COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;00460065;
425;SOCINAL S.A. CFI;SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;03881423;
426;NEON FINANCEIRA - CFI S.A.;NEON FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;11285104;
427;CRED-UFES;COOPERATIVA DE CREDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;27302181;
428;CREDSYSTEM SCD S.A.;CREDSYSTEM SOCIEDADE DE CRÉDITO DIRETO S.A.;39664698;
429;CREDIARE CFI S.A.;Crediare S.A. - Crédito, financiamento e investimento;05676026;
430;CCR SEARA;COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA;00204963;
433;BR-CAPITAL DTVM S.A.;BR-CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;44077014;
435;DELCRED SCD S.A.;DELCRED SOCIEDADE DE CRÉDITO DIRETO S.A.;38224857;
438;TRUSTEE DTVM LTDA.;TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;67030395;
439;ID CTVM;ID CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;16695922;
440;CREDIBRF COOP;CREDIBRF - COOPERATIVA DE CRÉDITO;82096447;
442;MAGNETIS - DTVM;MAGNETIS - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;87963450;
443;CREDIHOME SCD;CREDIHOME SOCIEDADE DE CRÉDITO DIRETO S.A.;39416705;
444;TRINUS SCD S.A.;TRINUS SOCIEDADE DE CRÉDITO DIRETO S.A.;40654622;
445;PLANTAE CFI;PLANTAE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;35551187;
447;MIRAE ASSET CCTVM LTDA;MIRAE ASSET WEALTH MANAGEMENT (BRAZIL) CORRETORA DE CÂMBIO, TÍTULOS E VALORES MO;12392983;
448;HEMERA DTVM LTDA.;HEMERA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;39669186;
449;DM;DM SOCIEDADE DE CRÉDITO DIRETO S.A.;37555231;
450;FITBANK IP;FITBANK INSTITUIÇÃO DE PAGAMENTOS ELETRÔNICOS S.A.;13203354;
451;J17 - SCD S/A;J17 - SOCIEDADE DE CRÉDITO DIRETO S/A;40475846;
452;CREDIFIT SCD S.A.;CREDIFIT SOCIEDADE DE CRÉDITO DIRETO S.A.;39676772;
454;MÉRITO DTVM LTDA.;MÉRITO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;41592532;
455;FÊNIX DTVM LTDA.;FÊNIX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;38429045;
456;BCO MUFG BRASIL S.A.;Banco MUFG Brasil S.A.;60498557;
457;UY3 SCD S/A;UY3 SOCIEDADE DE CRÉDITO DIRETO S/A;39587424;
458;HEDGE INVESTMENTS DTVM LTDA.;HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;07253654;
459;CCM SERV. PÚBLICOS SP;COOPERATIVA DE CRÉDITO MÚTUO DE SERVIDORES PÚBLICOS DO ESTADO DE SÃO PAULO - CRE;04546162;
460;UNAVANTI SCD S/A;UNAVANTI SOCIEDADE DE CRÉDITO DIRETO S/A;42047025;
